,ts_code,ann_date,end_date,undist_profit_ps,capital_rese_ps,surplus_rese_ps
0,000001.SZ,20200214,20191231,5.842,4.1645,0.5555
1,000002.SZ,20200318,20191231,8.4366,1.0958,6.2666
2,000006.SZ,20200409,20191231,2.2991,0.3588,1.3315
3,000011.SZ,20200318,20191231,4.1228,0.1351,0.0286
4,000014.SZ,20200327,20191231,2.2241,0.0494,1.1446
5,000025.SZ,20200403,20191231,0.8988,1.0009,0.0487
6,000026.SZ,20200320,20191231,2.1826,2.4409,0.5321
7,000029.SZ,20200314,20191231,1.448,0.967,0.189
8,000031.SZ,20200331,20191231,1.4889,1.8036,0.2781
9,000034.SZ,20200331,20191231,1.9293,3.6328,0.1522
10,000037.SZ,20200320,20191231,1.1727,0.6018,0.5523
11,000039.SZ,20200327,20191231,5.9933,1.3618,0.9994
12,000045.SZ,20200314,20191231,0.0968,3.8774,0.1779
13,000049.SZ,20200417,20191231,9.1357,0.1965,0.407
14,000050.SZ,20200318,20191231,1.673,10.2933,0.0914
15,000055.SZ,20200418,20191231,3.4704,0.0013,0.1423
16,000059.SZ,20200403,20191231,3.3872,3.7261,0.3654
17,000060.SZ,20200310,20191231,1.4395,0.434,0.2702
18,000062.SZ,20200326,20191231,2.9129,0.6192,0.3543
19,000063.SZ,20200328,20191231,2.7629,2.8727,0.6565
20,000065.SZ,20200420,20191231,3.7725,1.1889,0.331
21,000088.SZ,20200409,20191231,1.7341,0.4178,0.527
22,000089.SZ,20200328,20191231,3.0369,1.3624,0.4827
23,000090.SZ,20200414,20191231,1.7426,0.8361,0.3621
24,000096.SZ,20200331,20191231,2.5151,0.6654,0.7339
25,000099.SZ,20200324,20191231,2.2897,1.7049,0.4259
26,000100.SZ,20200331,20191231,0.8216,0.4226,0.1655
27,000151.SZ,20200325,20191231,0.1991,1.4934,0.5
28,000157.SZ,20200331,20191231,2.2134,1.7101,0.4515
29,000166.SZ,20200328,20191231,0.9371,0.7735,0.1354
30,000301.SZ,20200409,20191231,0.5062,1.117,0.0806
31,000338.SZ,20200327,20191231,4.6991,0.015,0.1227
32,000400.SZ,20200410,20191231,5.7263,0.8236,0.5144
33,000401.SZ,20200319,20191231,4.9815,2.4708,0.753
34,000404.SZ,20200411,20191231,1.248,2.2727,0.0916
35,000407.SZ,20200328,20191231,0.429,1.151,0.159
36,000409.SZ,20200328,20191231,-1.2696,1.3096,
37,000416.SZ,20200321,20191231,0.5124,0.0528,0.0885
38,000417.SZ,20200328,20191231,2.4295,0.3962,1.2608
39,000419.SZ,20200418,20191231,2.0563,0.7679,0.2926
40,000420.SZ,20200410,20191231,-0.2743,0.7051,0.0967
41,000421.SZ,20200417,20191231,2.5689,0.7113,0.2612
42,000423.SZ,20200327,20191231,12.8313,1.0559,0.7128
43,000428.SZ,20200330,20191231,0.0353,1.4261,0.0735
44,000429.SZ,20200407,20191231,1.8545,1.2256,0.4354
45,000488.SZ,20200328,20191231,3.204,1.7512,0.4173
46,000502.SZ,20200330,20191231,-0.0924,0.1235,0.0373
47,000505.SZ,20200328,20191231,0.0032,2.3268,0.1781
48,000507.SZ,20200416,20191231,1.4172,1.7865,0.1544
49,000509.SZ,20200331,20191231,-1.4561,0.3038,0.035
50,000513.SZ,20200326,20191231,9.0066,1.2446,0.6667
51,000514.SZ,20200326,20191231,1.2619,1.4091,0.1894
52,000520.SZ,20200417,20191231,-2.7802,1.9362,0.2891
53,000521.SZ,20200328,20191231,0.8464,2.5698,0.3932
54,000523.SZ,20200415,20191231,0.4889,1.4585,0.1089
55,000529.SZ,20200418,20191231,0.7406,0.978,0.1963
56,000530.SZ,20200418,20191231,1.2314,0.8619,0.9117
57,000531.SZ,20200418,20191231,3.1049,1.2424,0.5918
58,000532.SZ,20200325,20191231,1.2014,0.0742,0.1502
59,000534.SZ,20200229,20191231,0.9274,,
60,000538.SZ,20200327,20191231,13.9589,13.6371,1.1058
61,000539.SZ,20200418,20191231,1.1255,0.9708,1.5705
62,000541.SZ,20200410,20191231,1.222,0.1133,0.5978
63,000544.SZ,20200328,20191231,0.8822,3.9707,0.1806
64,000546.SZ,20200415,20191231,2.3522,2.2607,0.1907
65,000548.SZ,20200328,20191231,1.2075,0.958,0.254
66,000550.SZ,20200326,20191231,9.7006,0.9725,0.5
67,000551.SZ,20200324,20191231,1.8108,0.8546,0.3908
68,000552.SZ,20200331,20191231,1.1501,0.8058,0.1787
69,000555.SZ,20200331,20191231,1.9434,2.3867,0.0288
70,000557.SZ,20200328,20191231,-0.6522,2.9635,0.0927
71,000559.SZ,20200420,20191231,0.6006,0.0886,0.1998
72,000561.SZ,20200411,20191231,1.1643,0.3574,
73,000565.SZ,20200320,20191231,1.168,0.1179,0.3093
74,000570.SZ,20200411,20191231,1.2945,0.2927,0.574
75,000572.SZ,20200331,20191231,-0.3959,2.2963,0.0841
76,000573.SZ,20200414,20191231,0.5406,0.8474,0.3427
77,000576.SZ,20200328,20191231,-0.2778,1.7103,0.0986
78,000582.SZ,20200418,20191231,2.4056,2.2167,0.2204
79,000586.SZ,20200408,20191231,-0.1624,0.3346,0.0922
80,000590.SZ,20200409,20191231,-0.5732,1.9796,0.1917
81,000591.SZ,20200418,20191231,1.1621,2.2258,0.0451
82,000597.SZ,20200420,20191231,0.4464,2.8452,0.1575
83,000598.SZ,20200402,20191231,2.0558,0.5961,0.1354
84,000600.SZ,20200324,20191231,2.487,2.4866,0.425
85,000603.SZ,20200317,20191231,2.4409,0.6553,
86,000610.SZ,20200415,20191231,0.7307,1.6672,0.2089
87,000612.SZ,20200326,20191231,0.9041,1.3752,0.2903
88,000613.SZ,20200321,20191231,-0.9331,0.1487,
89,000617.SZ,20200402,20191231,2.5229,4.2884,0.6128
90,000619.SZ,20200321,20191231,3.8656,1.2249,0.7515
91,000627.SZ,20200415,20191231,1.1798,2.2457,0.0399
92,000628.SZ,20200229,20191231,-0.2511,2.3389,0.0312
93,000629.SZ,20200331,20191231,-0.7871,0.6451,0.1678
94,000631.SZ,20200326,20191231,0.9004,0.5716,0.1899
95,000635.SZ,20200331,20191231,1.2421,6.1981,0.3748
96,000652.SZ,20200410,20191231,1.4451,0.4647,0.3231
97,000655.SZ,20200321,20191231,1.9494,0.8197,0.5405
98,000656.SZ,20200324,20191231,2.4318,0.8441,0.2742
