,ts_code,ann_date,f_ann_date,end_date,c_recp_return_invest,n_cashflow_act
0,000001.SZ,20200214,20200214,20191231,30934000000.0,-40025000000.0
1,000002.SZ,20200318,20200318,20191231,2911602779.14,45686809515.08
2,000006.SZ,20200409,20200409,20191231,,-194256904.36
3,000011.SZ,20200318,20200318,20191231,,939789565.96
4,000014.SZ,20200327,20200327,20191231,,32487473.29
5,000025.SZ,20200403,20200403,20191231,54752103.23,78911353.03
6,000026.SZ,20200320,20200320,20191231,,444820768.61
7,000029.SZ,20200314,20200314,20191231,37502720.55,603607724.75
8,000031.SZ,20200331,20200331,20191231,309388551.77,4064992371.91
9,000034.SZ,20200331,20200331,20191231,64121425.71,1499628700.32
10,000037.SZ,20200320,20200320,20191231,6273.97,202943908.61
11,000039.SZ,20200327,20200327,20191231,198926000.0,3538522000.0
12,000045.SZ,20200314,20200314,20191231,5821323.94,383145788.5
13,000049.SZ,20200417,20200417,20191231,14034176.29,1594569915.55
14,000050.SZ,20200318,20200318,20191231,,4760660819.6
15,000055.SZ,20200418,20200418,20191231,59694513.21,-5284830.77
16,000059.SZ,20200403,20200403,20191231,5200000.0,2723475056.01
17,000060.SZ,20200310,20200310,20191231,193975675.8,2221317093.4
18,000062.SZ,20200326,20200326,20191231,1819174.57,694563669.15
19,000063.SZ,20200328,20200328,20191231,210091000.0,7446554000.0
20,000065.SZ,20200420,20200420,20191231,5861753.36,-1578507979.3
21,000088.SZ,20200409,20200409,20191231,377490031.08,259523794.73
22,000089.SZ,20200328,20200328,20191231,77147664.11,963530678.46
23,000090.SZ,20200414,20200414,20191231,17093736.05,292417758.34
24,000096.SZ,20200331,20200331,20191231,71814922.87,104395678.36
25,000099.SZ,20200324,20200324,20191231,7691417.37,765760163.1
26,000100.SZ,20200331,20200331,20191231,814671000.0,11490096000.0
27,000151.SZ,20200325,20200325,20191231,,-526157266.14
28,000157.SZ,20200331,20200331,20191231,843630394.29,6219349490.09
29,000166.SZ,20200328,20200328,20191231,3288775070.12,10115907964.23
30,000301.SZ,20200409,20200409,20191231,70829442.76,5215122982.16
31,000338.SZ,20200327,20200327,20191231,381796817.72,23834693282.66
32,000400.SZ,20200410,20200410,20191231,,76031068.53
33,000401.SZ,20200319,20200319,20191231,368977451.93,8219097476.16
34,000404.SZ,20200411,20200411,20191231,30202646.62,782449500.7
35,000407.SZ,20200328,20200328,20191231,5362287.24,590797664.03
36,000409.SZ,20200328,20200328,20191231,,-23936163.47
37,000416.SZ,20200321,20200321,20191231,6356704.86,-92577962.8
38,000417.SZ,20200328,20200328,20191231,23298777.3,-393519600.1
39,000419.SZ,20200418,20200418,20191231,34529963.72,-70865957.11
40,000420.SZ,20200410,20200410,20191231,,74933366.42
41,000421.SZ,20200417,20200417,20191231,20368408.73,-906643524.53
42,000423.SZ,20200327,20200327,20191231,92186986.06,-1119993996.91
43,000428.SZ,20200330,20200330,20191231,,391211419.77
44,000429.SZ,20200407,20200407,20191231,420177836.09,1988551897.83
45,000488.SZ,20200328,20200328,20191231,12000000.0,12232707222.94
46,000502.SZ,20200330,20200330,20191231,,-11656244.82
47,000505.SZ,20200328,20200328,20191231,8600589.61,297366794.05
48,000507.SZ,20200416,20200416,20191231,123809838.8,305400200.11
49,000509.SZ,20200331,20200331,20191231,,-6361382.4
50,000513.SZ,20200326,20200326,20191231,8471843.49,1767162882.77
51,000514.SZ,20200326,20200326,20191231,6000000.0,162298095.18
52,000520.SZ,20200417,20200417,20191231,29021.06,52220802.68
53,000521.SZ,20200328,20200328,20191231,53507866.92,1285003985.04
54,000523.SZ,20200415,20200415,20191231,4293672.96,-556824311.36
55,000529.SZ,20200418,20200418,20191231,,149041526.0
56,000530.SZ,20200418,20200418,20191231,112384931.89,12695071.81
57,000531.SZ,20200418,20200418,20191231,55675167.55,757405602.54
58,000532.SZ,20200325,20200325,20191231,48595720.38,150316661.75
59,000534.SZ,20200229,20200229,20191231,2442.89,155333410.42
60,000538.SZ,20200327,20200327,20191231,267635121.35,2104744825.43
61,000539.SZ,20200418,20200418,20191231,239149433.0,8272683112.0
