,ts_code,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees
0,300381.SZ,SZSE,陈少美,陈少美,周德荣,43984.1924,19910903,广东,珠海市,www.yiduoli.com,vtrbio@vtrbio.com,2611
1,300222.SZ,SZSE,黄明松,黄明松,穆峻柏,72475.059,20021127,上海,上海市,www.csg.com.cn,kdzn@csg.com.cn;mjb@csg.com.cn,3618
2,300416.SZ,SZSE,钟琼华,钟琼华,陈英,13557.7527,20071229,江苏,苏州市,www.chinasti.com,sushi@chinasti.com,908
3,300234.SZ,SZSE,邢翰学,邢翰学,许哲远,28953.4588,20030429,浙江,金华市,www.zjke.com/www.zjke.com.cn,stock@zjke.com;xuzheyuan@zjke.com,621
4,300395.SZ,SZSE,吴学民,商春利,郑巍,33815.8344,19990122,湖北,荆州市,www.feilihua.com,zqb@feilihua.com,1222
5,300454.SZ,SZSE,何朝曦,何朝曦,蒋文光,40892.714,20001225,广东,深圳市,www.sangfor.com.cn,ir@sangfor.com.cn,4552
6,300246.SZ,SZSE,燕金元,燕金元,杨永兴,14608.8,19930628,广东,珠海市,www.blt.com.cn,ir@blt.com.cn,1019
7,300400.SZ,SZSE,吴限,徐德勇,刘荣斌,24399.38,20040727,广东,深圳市,www.jt-ele.com,zqtzb@jt-ele.com;stx@jt-ele.com,991
8,002882.SZ,SZSE,郑永汉,郑永汉,夏斓,43290,19960412,广东,深圳市,www.szjiy.com,xl@szjly.com,1063
9,002711.SZ,SZSE,彭国宇,李孝国,彭国宇,105607.04,20051228,广东,佛山市,www.oupuzw.com,opzqb@oupuzw.com,854
10,002692.SZ,SZSE,俞国平,俞国平,周斯秀,71814.6,20010220,江苏,无锡市,www.yccable.cn,stock@reconcl.com;IR@yccable.cn,1351
11,300297.SZ,SZSE,柯宗贵,柯宗贵,李德桂,124979.6194,19991029,广东,广州市,www.bluedon.com,stock@chinabluedon.cn;lee_bluedon@163.com;lzb@chinabluedon.cn,1941
12,002967.SZ,SZSE,黄跃珍,黄敦鹏,欧楚勤,33067,20020524,广东,广州市,www.grgtest.com,grgtestzqb@grgtest.com,3858
13,300559.SZ,SZSE,袁斌,寇健,文晶,26635.3495,20021031,四川,成都市,www.jf-r.com,cdjiafaantai@163.com,647
14,300405.SZ,SZSE,姜艳,姜艳,蔡蔓丽,22246.9156,20020321,辽宁,辽阳市,www.kelongchem.com,kelong@kelongchem.com;caimanli126@163.com;814458276@qq.com,707
15,002965.SZ,SZSE,陈荣,谢祥娃,陈振海,11302,20040520,广东,东莞市,www.luckyharvest.cn,ir@luckyharvest.cn,2246
16,300460.SZ,SZSE,赵积清,姜健伟,王军,16827.42,20020625,广东,东莞市,www.dgylec.com,yl@dgylec.com;flzqsw@dgylec.com,711
17,002957.SZ,SZSE,PHUA LEE MING,彭绍东,李单单,41000,20010523,广东,深圳市,www.colibri.com.cn,bod@colibri.com.cn;lkang@colibri.com.cn,2153
18,002780.SZ,SZSE,张恒,张恒,张恒,14557.1324,20010622,北京,北京市,www.sanfo.com,sanfoirm@sanfo.com,616
19,300793.SZ,SZSE,严文华,肖伟群,富欣伟,16668,20131017,广东,东莞市,www.cosonic.cc,ir@cosonic.net,6091
20,002658.SZ,SZSE,敖小强,敖小强,魏鹏娜,60489.7469,20010924,北京,北京市,www.chsdl.com,zqb@chsdl.com;weipengna@chsdl.com;yangyuanyuan@chsdl.com,1936
21,002766.SZ,SZSE,盛家方,肖行亦,盛家方,42175.4014,19971017,广东,深圳市,www.szsoling.com,dm88@szsoling.com,1536
22,300720.SZ,SZSE,郑锦康,郑锦康,林锦荣,10800,20040826,广东,佛山市,www.highdream.cn,hdmcw@highdream.net,483
23,300470.SZ,SZSE,赵其春,何方,陈虹,19674.71,19930929,四川,成都市,www.sns-china.com,chenhong@sns-china.com;wangqisns@163.com,1061
