,ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
0,000058.SZ,20190925,徐腊平,M,董事会成员,董事,博士,中国,1978,20170721,
1,000058.SZ,20190925,张良,M,董事会成员,董事,硕士,中国,1971,20180329,
2,000058.SZ,20190925,张宇杰,M,监事,监事,硕士,中国,1963,20180329,
3,000058.SZ,20190925,高建柏,M,董事会成员,董事,硕士,中国,1964,20180913,
4,000058.SZ,20190925,李立武,M,董事会成员,董事,本科,中国,1980,20190423,
5,000058.SZ,20190925,韩兴凯,M,其他,,本科,中国,1969,,
6,000158.SZ,20190925,赵立新,M,高管,副总经理,硕士,中国,197108,20190924,
7,000058.SZ,20190925,赵晓建,M,其他,,本科,中国,1973,,
8,000058.SZ,20190925,张剑,F,其他,,硕士,中国,1979,,
9,000058.SZ,20190925,张波,M,其他,,博士,中国,1964,,
10,000058.SZ,20190925,麦昊天,M,其他,,本科,中国,1972,,
11,000058.SZ,20190925,姚晨航,M,其他,,硕士,中国,1977,,
12,000058.SZ,20190925,李琦,M,其他,,硕士,中国,1966,,
13,000429.SZ,20190921,郑任发,M,董事会成员,董事长,硕士,中国,1970,20170104,
14,000429.SZ,20190921,程锐,M,高管,副总经理,硕士,中国,1975,20170828,
15,000429.SZ,20190921,杨汉明,M,高管,董事会秘书,本科,中国,1970,20170828,
16,000429.SZ,20190921,方智,M,董事会成员,董事,硕士,中国,1964,20151231,
17,000429.SZ,20190921,左江,F,高管,副总经理,硕士,中国,1973,20151019,
18,000429.SZ,20190921,汪春华,M,高管,总经理,硕士,中国,1964,20151019,
19,000429.SZ,20190921,方智,M,委员会成员,审计委员会委员,硕士,中国,1964,20160328,
20,000429.SZ,20190921,顾乃康,M,董事会成员,独立董事,博士,中国,1965,20160721,
21,000429.SZ,20190921,李海虹,F,监事,监事,本科,中国,1971,20160721,
22,000429.SZ,20190921,黄海,M,董事会成员,董事,硕士,中国,1975,20160721,
23,000429.SZ,20190921,杜军,M,董事会成员,董事,硕士,中国,1966,20160721,
24,000429.SZ,20190921,鲍方舟,M,董事会成员,独立董事,硕士,中国,1978,20160721,
25,000429.SZ,20190921,操宇,M,董事会成员,董事,硕士,中国,1986,20160721,
26,000429.SZ,20190921,曾小清,F,董事会成员,独立董事,博士,中国,1969,20190520,
27,000429.SZ,20190921,蒋昌稳,M,监事,监事,硕士,中国,1967,20190520,
28,000429.SZ,20190921,蒋昌稳,M,监事,监事会主席,硕士,中国,1967,20190520,
29,000429.SZ,20190921,曾小清,F,委员会成员,薪酬与考核委员会委员,博士,中国,1969,20190520,20190919
30,000429.SZ,20190921,顾乃康,M,委员会成员,战略委员会委员,博士,中国,1965,20160721,20190919
31,000429.SZ,20190921,黄海,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1975,20160721,
32,000429.SZ,20190921,鲍方舟,M,委员会成员,薪酬与考核委员会主任,硕士,中国,1978,20160721,
33,000429.SZ,20190921,顾乃康,M,委员会成员,薪酬与考核委员会委员,博士,中国,1965,20190920,
34,000429.SZ,20190921,鲍方舟,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1978,20160721,
35,000429.SZ,20190921,曾小清,F,委员会成员,战略委员会委员,博士,中国,1969,20190920,
36,000429.SZ,20190921,鲍方舟,M,委员会成员,战略委员会委员,硕士,中国,1978,20160721,
37,000429.SZ,20190921,郑任发,M,其他,风险管理委员会委员,硕士,中国,1970,20190920,
38,000429.SZ,20190921,顾乃康,M,其他,风险管理委员会委员,博士,中国,1965,20190920,
39,000429.SZ,20190921,鲍方舟,M,其他,风险管理委员会委员,硕士,中国,1978,20190920,
40,000429.SZ,20190921,郑任发,M,其他,风险管理委员会主任,硕士,中国,1970,20190920,
41,000429.SZ,20190921,汪春华,M,委员会成员,战略委员会委员,硕士,中国,1964,20160721,
42,000429.SZ,20190921,梁继荣,M,其他,董事会证券事务代表,本科,中国,1974,20160721,
43,000429.SZ,20190921,王萍,F,高管,总工程师,本科,中国,1965,20120420,
44,000429.SZ,20190921,郑任发,M,委员会成员,战略委员会主任,硕士,中国,1970,20190920,
45,000429.SZ,20190921,郑任发,M,委员会成员,战略委员会委员,硕士,中国,1970,20190920,
46,000429.SZ,20190921,赫兵,F,其他,总法律顾问,硕士,中国,1967,20120723,
47,000429.SZ,20190921,汪春华,M,董事会成员,董事,硕士,中国,1964,20130416,
48,000045.SZ,20190921,李磊,M,监事,监事,本科,中国,1975,20190626,
49,000429.SZ,20190921,王萍,F,董事会成员,董事,本科,中国,1965,20140421,
50,000429.SZ,20190921,郑任发,M,董事会成员,董事,硕士,中国,1970,20140421,
51,000429.SZ,20190921,陈敏,M,董事会成员,董事,本科,中国,1964,20170719,
52,000429.SZ,20190921,柯琳,F,监事,监事,本科,中国,1969,20170915,
53,000429.SZ,20190921,张华,M,委员会成员,审计委员会委员,硕士,中国,1965,20180130,
54,000429.SZ,20190921,刘中华,M,委员会成员,审计委员会委员,硕士,中国,1965,20180130,
55,000429.SZ,20190921,刘中华,M,委员会成员,审计委员会主任,硕士,中国,1965,20180130,
56,000429.SZ,20190921,张华,M,委员会成员,战略委员会委员,硕士,中国,1965,20180130,
57,000429.SZ,20190921,曾志军,M,董事会成员,董事,硕士,中国,1971,20171204,
58,000429.SZ,20190921,卓威衡,M,董事会成员,董事,本科,中国,1971,20171204,
59,000429.SZ,20190921,张华,M,董事会成员,独立董事,硕士,中国,1965,20171204,
60,000429.SZ,20190921,刘中华,M,董事会成员,独立董事,硕士,中国,1965,20171204,
61,000429.SZ,20190921,方智,M,高管,总会计师,硕士,中国,1964,20150527,
62,000063.SZ,20190920,谢峻石,M,高管,执行副总裁,硕士,中国,1975,20190919,
63,000034.SZ,20190918,凌震文,M,其他,,本科,中国,1972,,
64,000023.SZ,20190917,侯剑,F,高管,董事会秘书,硕士,中国,197004,20100608,20190916
65,000023.SZ,20190917,侯剑,F,高管,副总经理,硕士,中国,197004,20141210,20190916
66,000023.SZ,20190917,林剑锐,M,高管,代董事会秘书,,中国,198806,20190916,
67,000503.SZ,20190916,夏坤,F,监事,职工监事,本科,中国,1987,20190911,
68,000503.SZ,20190916,沈治国,M,高管,财务负责人,硕士,中国,1977,20190912,
69,000503.SZ,20190916,黄雪堂,M,高管,财务负责人,本科,中国,197308,20180516,20190911
70,000020.SZ,20190916,李中秋,M,董事会成员,董事,硕士,中国,1964,20070718,
71,000066.SZ,20190916,吴中海,M,委员会成员,战略委员会委员,博士,中国,,20180416,20190912
72,000066.SZ,20190916,吴中海,M,委员会成员,提名委员会委员,博士,中国,,20180416,20190912
73,000066.SZ,20190916,吴中海,M,委员会成员,提名委员会主任,博士,中国,,20180416,20190912
74,000030.SZ,20190916,孙静波,F,董事会成员,董事,硕士,中国,197805,20190912,
75,000503.SZ,20190916,杨殿中,M,其他,,博士,中国,1961,,
76,000503.SZ,20190916,孙迪草,M,高管,副总裁,专科,中国,1963,20190912,
77,000503.SZ,20190916,孙立群,F,高管,副总裁,硕士,中国,1967,20190912,
78,000503.SZ,20190916,李永华,M,其他,,硕士,中国,1975,,
79,000503.SZ,20190916,李永华,M,高管,总裁,硕士,中国,1975,20190912,
80,000020.SZ,20190916,郑春美,F,董事会成员,独立董事,博士,中国,1965,20190912,
81,000020.SZ,20190916,吴卫华,M,董事会成员,独立董事,硕士,中国,1978,20190912,
82,000503.SZ,20190916,王志刚,M,董事会成员,董事,博士,中国,196908,20180516,20190911
83,000020.SZ,20190916,姜俊明,M,董事会成员,董事,硕士,中国,197802,20190912,
84,000020.SZ,20190916,陈志刚,M,董事会成员,董事,硕士,中国,1973,20190912,
85,000020.SZ,20190916,杨雄文,M,董事会成员,独立董事,博士,中国,1970,20190912,
86,000020.SZ,20190916,陈琴,F,监事,监事,本科,中国,1986,20151124,
87,000020.SZ,20190916,黄雁波,F,监事,监事,本科,中国,1962,20120116,
88,000503.SZ,20190916,孙立群,F,监事,职工监事,硕士,中国,1967,20190125,20190911
89,000066.SZ,20190916,李国敏,M,董事会成员,独立董事,本科,中国,,20190912,
90,000066.SZ,20190916,吴中海,M,董事会成员,独立董事,博士,中国,,20180403,20190912
91,000019.SZ,20190912,叶青云,M,高管,副总经理,本科,中国,1979,20190221,20190911
92,000027.SZ,20190911,张前,F,监事,监事,硕士,中国,1979,20190910,
93,000429.SZ,20190910,周益三,M,监事,职工监事,硕士,中国,1981,20190909,
94,000429.SZ,20190910,杨天树,M,监事,职工监事,硕士,中国,1983,20180330,20190909
95,000056.SZ,20190910,龙光明,M,监事,监事,硕士,中国,1983,20160105,
96,000429.SZ,20190910,冯源,M,监事,职工监事,本科,中国,1964,20190909,
97,000056.SZ,20190910,王培,F,董事会成员,独立董事,硕士,中国,1968,20160628,
98,000056.SZ,20190910,李岚,F,其他,,本科,中国,1982,,
99,000056.SZ,20190910,陈建华,M,其他,,博士,中国,1963,,
100,000056.SZ,20190910,孙俊英,F,其他,,硕士,中国,1961,,
101,000056.SZ,20190910,汪军民,M,董事会成员,独立董事,博士,中国,1964,20160926,
102,000056.SZ,20190910,刘玉英,F,监事,监事,硕士,中国,1975,20160926,
103,000056.SZ,20190910,熊楚熊,M,董事会成员,独立董事,博士,中国,1955,20130923,
104,000056.SZ,20190910,林青辉,M,监事,监事,本科,中国,1966,20180622,
105,000056.SZ,20190910,曹剑,M,董事会成员,董事,硕士,中国,1981,20180622,
106,000056.SZ,20190910,郑康豪,M,董事会成员,董事,硕士,中国,1976,20100910,
107,000056.SZ,20190910,李亚莉,F,董事会成员,董事,硕士,中国,1976,20180622,
108,000056.SZ,20190910,刘海波,M,董事会成员,董事,硕士,中国,1980,20180622,
109,000056.SZ,20190910,邢福俊,M,董事会成员,董事,博士,中国,1973,20180622,
110,000429.SZ,20190910,曹晓英,F,监事,职工监事,本科,中国,1968,20160318,20190909
111,000400.SZ,20190907,任志航,M,高管,总经理,硕士,中国,197312,20190906,
112,000034.SZ,20190831,刘风彦,M,高管,副总裁,硕士,中国,1973,20190830,
113,000034.SZ,20190831,汤凯,M,高管,开发总监,本科,中国,1975,20190830,
114,000034.SZ,20190831,吴昊,M,高管,副总裁,本科,中国,1978,20190830,
115,000409.SZ,20190831,张宝才,M,高管,代董事会秘书,硕士,中国,196705,20190827,20190830
116,000034.SZ,20190831,郝峻晟,M,高管,技术总监,硕士,中国,1980,20190830,
117,000034.SZ,20190831,汤凯,M,高管,技术总监,本科,中国,1975,20180426,20190829
118,000409.SZ,20190831,刘波,M,高管,董事会秘书,本科,中国,198312,20190830,
119,000151.SZ,20190830,于太祥,M,委员会成员,战略委员会委员,硕士,中国,1970,20170426,
120,000151.SZ,20190830,武雅斌,M,委员会成员,战略委员会委员,博士,中国,1974,20170426,
121,000151.SZ,20190830,顾海涛,M,委员会成员,审计委员会委员,硕士,中国,196311,20170426,
122,000151.SZ,20190830,于太祥,M,委员会成员,审计委员会委员,硕士,中国,1970,20170426,
123,000151.SZ,20190830,武雅斌,M,委员会成员,审计委员会委员,博士,中国,1974,20170426,
124,000151.SZ,20190830,张晖,M,委员会成员,战略委员会委员,本科,中国,196804,20130830,
125,000151.SZ,20190830,刘艳,F,委员会成员,战略委员会委员,硕士,中国,196604,20150911,
126,000151.SZ,20190830,江华,M,委员会成员,审计委员会委员,硕士,中国,1963,20140425,
127,000151.SZ,20190830,顾海涛,M,委员会成员,战略委员会委员,硕士,中国,196311,20140425,
128,000151.SZ,20190830,江华,M,委员会成员,战略委员会委员,硕士,中国,1963,20140425,
129,000151.SZ,20190830,赵耀伟,M,监事,监事会主席,本科,中国,,20190829,
130,000151.SZ,20190830,韩宏,M,委员会成员,战略委员会委员,本科,中国,,20190829,
131,000151.SZ,20190830,王毅,M,委员会成员,审计委员会委员,本科,中国,,20190829,
132,000429.SZ,20190829,王萍,F,董事会成员,董事,本科,中国,1965,20140421,
133,000429.SZ,20190829,郑任发,M,董事会成员,董事,硕士,中国,1970,20140421,
134,000429.SZ,20190829,柯琳,F,监事,监事,本科,中国,1969,20170915,
135,000429.SZ,20190829,汪春华,M,董事会成员,董事,硕士,中国,1964,20130416,
136,000429.SZ,20190829,陈敏,M,董事会成员,董事,本科,中国,1964,20170719,
137,000429.SZ,20190829,黄海,M,董事会成员,董事,硕士,中国,1975,20160721,
138,000429.SZ,20190829,杜军,M,董事会成员,董事,硕士,中国,1966,20160721,
139,000429.SZ,20190829,鲍方舟,M,董事会成员,独立董事,硕士,中国,1978,20160721,
140,000429.SZ,20190829,操宇,M,董事会成员,董事,硕士,中国,1986,20160721,
141,000429.SZ,20190829,曾小清,F,董事会成员,独立董事,博士,中国,1969,20190520,
142,000023.SZ,20190829,李钦,M,监事,监事会主席,本科,中国,19791016,20190715,20190828
143,000023.SZ,20190829,李钦,M,监事,职工监事,本科,中国,19791016,20190628,20190828
144,000429.SZ,20190829,顾乃康,M,董事会成员,独立董事,博士,中国,1965,20160721,
145,000429.SZ,20190829,李海虹,F,监事,监事,本科,中国,1971,20160721,
146,000429.SZ,20190829,方智,M,董事会成员,董事,硕士,中国,1964,20151231,
147,000429.SZ,20190829,曾志军,M,董事会成员,董事,硕士,中国,1971,20171204,
148,000429.SZ,20190829,卓威衡,M,董事会成员,董事,本科,中国,1971,20171204,
149,000429.SZ,20190829,张华,M,董事会成员,独立董事,硕士,中国,1965,20171204,
150,000429.SZ,20190829,刘中华,M,董事会成员,独立董事,硕士,中国,1965,20171204,
151,000429.SZ,20190829,蒋昌稳,M,监事,监事,硕士,中国,1967,20190520,
152,000409.SZ,20190828,孔令涛,M,董事会成员,董事,本科,中国,197403,20190827,
153,000030.SZ,20190828,吴云星,M,董事会成员,董事,硕士,中国,1958,20150916,20190827
154,000409.SZ,20190828,张宝才,M,董事会成员,董事长,硕士,中国,196705,20190827,
155,000409.SZ,20190828,张宝才,M,高管,法定代表人,硕士,中国,196705,20190827,
156,000409.SZ,20190828,张宝才,M,委员会成员,战略委员会委员,硕士,中国,196705,20190827,
157,000409.SZ,20190828,尤加强,M,委员会成员,战略委员会委员,本科,中国,197003,20190827,
158,000409.SZ,20190828,孔令涛,M,委员会成员,战略委员会委员,本科,中国,197403,20190827,
159,000409.SZ,20190828,刘波,M,委员会成员,战略委员会委员,本科,中国,198312,20190827,
160,000409.SZ,20190828,伏军,M,委员会成员,战略委员会委员,博士,中国,197201,20190827,
161,000409.SZ,20190828,李兰明,M,委员会成员,审计委员会委员,硕士,中国,198107,20190827,
162,000409.SZ,20190828,赵庆国,M,委员会成员,审计委员会委员,本科,中国,1971,20190827,
163,000409.SZ,20190828,李兰明,M,委员会成员,薪酬与考核委员会委员,硕士,中国,198107,20190827,
164,000409.SZ,20190828,马立东,M,高管,董事会秘书,硕士,中国,1981,20180227,20190827
165,000409.SZ,20190828,董华,M,委员会成员,提名委员会主任,硕士,中国,1977,20180507,20190827
166,000409.SZ,20190828,李培进,M,委员会成员,战略委员会委员,硕士,中国,1970,20180507,20190827
167,000409.SZ,20190828,张立新,M,委员会成员,战略委员会委员,硕士,中国,1967,20180507,20190827
168,000409.SZ,20190828,张宪依,M,委员会成员,战略委员会委员,博士,中国,1962,20180507,20190827
169,000409.SZ,20190828,董华,M,委员会成员,审计委员会委员,硕士,中国,1977,20180507,
170,000409.SZ,20190828,李天章,M,委员会成员,审计委员会委员,硕士,中国,1977,20180507,20190827
171,000409.SZ,20190828,董华,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1977,20180507,
172,000409.SZ,20190828,董华,M,委员会成员,提名委员会委员,硕士,中国,1977,20180507,20190827
173,000409.SZ,20190828,毕方庆,M,董事会成员,董事,本科,中国,196309,20190827,
174,000409.SZ,20190828,单光辉,M,监事,监事,本科,中国,197004,20190827,
175,000409.SZ,20190828,赵庆国,M,董事会成员,职工董事,本科,中国,1971,20190827,
176,000030.SZ,20190828,吴云星,M,委员会成员,战略委员会委员,硕士,中国,1958,20180629,20190827
177,000409.SZ,20190828,张宪依,M,董事会成员,代董事长,博士,中国,1962,20190130,20190827
178,000409.SZ,20190828,张宪依,M,高管,代法定代表人,博士,中国,1962,20190130,20190827
179,000409.SZ,20190828,张宝才,M,董事会成员,董事,硕士,中国,196705,20190827,
180,000409.SZ,20190828,尤加强,M,高管,总经理,本科,中国,197003,20190827,
181,000409.SZ,20190828,孔令涛,M,高管,财务总监,本科,中国,197403,20190827,
182,000409.SZ,20190828,刘波,M,董事会成员,董事,本科,中国,198312,20190827,
183,000409.SZ,20190828,李培进,M,董事会成员,董事,硕士,中国,1970,20180507,20190827
184,000409.SZ,20190828,李天章,M,董事会成员,董事,硕士,中国,1977,20180507,20190827
185,000409.SZ,20190828,张立新,M,董事会成员,董事,硕士,中国,1967,20180507,20190827
186,000409.SZ,20190828,张宪依,M,董事会成员,董事,博士,中国,1962,20180507,20190827
187,000409.SZ,20190828,尤加强,M,董事会成员,董事,本科,中国,197003,20190827,
188,000409.SZ,20190828,张宪依,M,高管,总经理,博士,中国,1962,20180122,20190827
189,000409.SZ,20190828,何宏满,M,董事会成员,董事,本科,中国,1972,20101117,20190827
190,000409.SZ,20190828,毕方庆,M,委员会成员,薪酬与考核委员会委员,本科,中国,196309,20190827,
191,000409.SZ,20190828,伏军,M,委员会成员,提名委员会委员,博士,中国,197201,20190827,
192,000409.SZ,20190828,尤加强,M,委员会成员,提名委员会委员,本科,中国,197003,20190827,
193,000409.SZ,20190828,李兰明,M,委员会成员,提名委员会委员,硕士,中国,198107,20190827,
194,000409.SZ,20190828,张宝才,M,委员会成员,战略委员会主任,硕士,中国,196705,20190827,
195,000409.SZ,20190828,董华,M,委员会成员,审计委员会主任,硕士,中国,1977,20190827,
196,000409.SZ,20190828,李兰明,M,委员会成员,薪酬与考核委员会主任,硕士,中国,198107,20190827,
197,000409.SZ,20190828,伏军,M,委员会成员,提名委员会主任,博士,中国,197201,20190827,
198,000409.SZ,20190828,何宏满,M,委员会成员,薪酬与考核委员会委员,本科,中国,1972,20170118,20190827
199,000409.SZ,20190828,马立东,M,高管,副总经理,硕士,中国,1981,20180122,20190827
200,000409.SZ,20190828,薛希凤,F,高管,财务总监,本科,中国,1976,20180122,20190827
201,000409.SZ,20190828,李玉峰,M,监事,职工监事,本科,中国,198210,20160718,20190827
202,000019.SZ,20190827,郑春美,F,其他,,博士,中国,1965,,
203,000019.SZ,20190827,杨雄文,M,其他,,博士,中国,1970,,
204,000019.SZ,20190827,吴卫华,M,其他,,硕士,中国,1978,,
205,000019.SZ,20190827,黄雁波,F,其他,,本科,中国,1962,,
206,000019.SZ,20190827,陈琴,F,其他,,本科,中国,1986,,
207,000019.SZ,20190827,李中秋,M,其他,,硕士,中国,1964,,
208,000019.SZ,20190827,姜俊明,M,其他,,硕士,中国,197802,,
