stock_id:ID,name,area,n_income,total_profit,income_tax,revenue,undist_profit_ps,capital_rese_ps,surplus_rese_ps,circ_mv,float_share,pb,pe,c_recp_return_invest,n_cashflow_act,diluted_eps,diluted_roe,operate_profit,total_assets,accounts_receiv,cap_rese,intan_assets,total_cur_assets,total_cur_liab,total_share,undistr_porfit,:LABEL
000158.SZ,常山北明,河北,0,0,0,0,0,0,0,1469435.9378,156991.019,2.5282,80.4584,0,0,0.07,1.79,105595800.0,14159190500.0,0,0,0,0,0,0,0,stock
601869.SH,长飞光纤,湖北,0,0,0,0,0,0,0,341887.8201,10657.351,2.7666,16.3268,0,0,1.06,9.45,877794590.0,13775899600.0,0,0,0,0,0,0,0,stock
000963.SZ,华东医药,浙江,0,0,0,0,0,0,0,3256348.5879,174978.4303,2.7924,14.3629,0,0,0,0,0,0,0,0,0,0,0,0,0,stock
000981.SZ,ST银亿,甘肃,0,0,0,0,0,0,0,362978.4996,257431.56,0.4335,,0,0,0,0,0,0,0,0,0,0,0,0,0,stock
002270.SZ,华明装备,山东,0,0,0,0,0,0,0,376852.4936,73892.6458,1.6293,23.6077,0,0,0.19,6.07,149202918.94,3807288316.24,0,0,0,0,0,0,0,stock
002247.SZ,聚力文化,浙江,0,0,0,0,0,0,0,101825.5169,54452.1481,2.9146,,0,0,-1.74,-115.05,-1447688300.0,1810134900.0,0,0,0,0,0,0,0,stock
002488.SZ,金固股份,浙江,0,0,0,0,0,0,0,485747.1853,76980.5365,2.3762,38.8748,0,0,0.02,0.62,28648572.92,6735190883.14,0,0,0,0,0,0,0,stock
603300.SH,华铁应急,浙江,396813782.25,471780373.19,74966590.94,1153867198.47,0.8578,0.9741,0.0736,427637.2041,63636.4887,2.6009,16.577,739720.0,812861858.99,0,0,0,0,943301225.26,662494872.7,11687605.18,1224155613.9,2336373668.59,680083044.0,583347127.05,stock
000592.SZ,平潭发展,福建,0,0,0,0,0,0,0,453576.3864,191382.4415,1.4308,173.7601,0,0,0.0071,0.43,3605000.0,4249928600.0,0,0,0,0,0,0,0,stock
600981.SH,汇鸿集团,江苏,0,0,0,0,0,0,0,255798.2634,73085.2181,1.5235,6.5319,0,0,0,0,0,0,0,0,0,0,0,0,0,stock
300490.SZ,华自科技,湖南,0,0,0,0,0,0,0,215795.2635,23456.0069,1.3671,23.8437,0,0,0.37,5.56,104212504.39,3084542317.93,0,0,0,0,0,0,0,stock
002286.SZ,保龄宝,山东,0,0,0,0,0,0,0,281370.5292,36925.2663,1.7798,65.5072,0,0,0.13,3.14,57293069.39,2535611809.63,0,0,0,0,0,0,0,stock
603687.SH,大胜达,浙江,0,0,0,0,0,0,0,67400.0,5000.0,3.8771,39.1816,0,0,0,0,0,0,0,0,0,0,0,0,0,stock
000030.SZ,富奥股份,吉林,0,0,0,0,0,0,0,901059.0054,175988.087,1.4493,10.5146,0,0,0,0,0,0,0,0,0,0,0,0,0,stock
600594.SH,益佰制药,贵州,0,0,0,0,0,0,0,422097.3042,79192.74,1.1524,,0,0,0,0,0,0,0,0,0,0,0,0,0,stock
600088.SH,中视传媒,上海,95424018.24,130656788.73,35232770.49,855821413.23,1.0572,0.6378,0.4122,530938.044,39770.64,4.2964,59.0637,11967760.76,76331628.91,0,0,0,0,21999035.28,253650492.34,,1040792196.26,351493366.59,397706400.0,420455647.5,stock
002278.SZ,神开股份,上海,0,0,0,0,0,0,0,197791.2732,34398.4823,1.8436,70.3071,0,0,0.13,4.24,58855980.7,1631276418.94,0,0,0,0,0,0,0,stock
603138.SH,海量数据,北京,0,0,0,0,0,0,0,397939.2292,20977.292,8.7852,73.7779,0,0,0,0,0,0,0,0,0,0,0,0,0,stock
