,ts_code,ann_date,f_ann_date,n_income,total_profit,income_tax,revenue
0,000001.SZ,20200214,20200214,28195000000.0,36240000000.0,8045000000.0,137958000000.0
1,000002.SZ,20200318,20200318,55131614572.09,76539289517.59,21407674945.5,367893877538.94
2,000006.SZ,20200409,20200409,843064948.92,1102844322.79,259779373.87,3731330139.73
3,000011.SZ,20200318,20200318,742130050.54,1004846231.45,262716180.91,3961669942.44
4,000014.SZ,20200327,20200327,32131711.4,43057765.14,10926053.74,438139662.69
5,000025.SZ,20200403,20200403,218807234.18,302595269.11,83788034.93,571072893.9
6,000026.SZ,20200320,20200320,215909014.15,276233643.4,60324629.25,3704210734.9
7,000029.SZ,20200314,20200314,541197030.06,731983330.76,190786300.7,2548740319.49
8,000031.SZ,20200331,20200331,3705363475.05,6005312916.99,2299949441.94,33786623201.85
9,000034.SZ,20200331,20200331,701657307.51,931488977.26,229831669.75,86803376390.13
10,000037.SZ,20200320,20200320,25692942.62,28771734.1,3078791.48,1222577954.53
11,000039.SZ,20200327,20200327,2510113000.0,5613874000.0,3103761000.0,85815341000.0
12,000045.SZ,20200314,20200314,-18526678.63,9532401.59,28059080.22,2158184855.71
13,000049.SZ,20200417,20200417,669837724.54,853990787.05,184153062.51,18442687582.11
14,000050.SZ,20200318,20200318,829364995.37,1018624638.86,189259643.49,30281970068.28
15,000055.SZ,20200418,20200418,346761604.3,417033292.75,70271688.45,3005749558.66
16,000059.SZ,20200403,20200403,1048976368.69,1259351040.78,210374672.09,39608340979.04
17,000060.SZ,20200310,20200310,871387969.34,1026199573.39,154811604.05,22800522837.36
18,000062.SZ,20200326,20200326,717250085.8,899673113.88,182423028.08,14355283742.39
19,000063.SZ,20200328,20200328,5776669000.0,7161670000.0,1385001000.0,90736582000.0
20,000065.SZ,20200420,20200420,739566259.66,854524416.93,114958157.27,11060172817.26
21,000088.SZ,20200409,20200409,394437935.4,437645911.82,43207976.42,593358498.29
22,000089.SZ,20200328,20200328,605598430.51,777088851.35,171490420.84,3806556336.27
23,000090.SZ,20200414,20200414,1233640318.22,1800579915.1,566939596.88,14665288591.27
24,000096.SZ,20200331,20200331,128985224.91,150003801.32,21018576.41,1623086752.58
25,000099.SZ,20200324,20200324,211129923.15,283390288.43,72260365.28,1567253301.11
26,000100.SZ,20200331,20200331,3657734000.0,4055803000.0,398069000.0,74933086000.0
27,000151.SZ,20200325,20200325,8751179.96,8493896.1,-257283.86,1183601165.48
28,000157.SZ,20200331,20200331,4275115181.31,5033900266.78,758785085.47,43307395375.43
29,000166.SZ,20200328,20200328,5803340743.3,6927231024.49,1123890281.19,24593411762.73
30,000301.SZ,20200409,20200409,1612160788.59,1905883990.99,293723202.4,24887768959.59
31,000338.SZ,20200327,20200327,11907007092.49,14351650141.05,2444643048.56,174360892512.86
32,000400.SZ,20200410,20200410,494460357.86,558921224.74,64460866.88,10156082886.47
33,000401.SZ,20200319,20200319,4904624637.78,6254017747.62,1349393109.84,34507031964.78
34,000404.SZ,20200411,20200411,100014036.09,126891754.82,26877718.73,9589210837.07
35,000407.SZ,20200328,20200328,203953875.68,288082254.5,84128378.82,5348283403.38
36,000409.SZ,20200328,20200328,-871880021.5,-973314888.51,-101434867.01,2219034235.21
37,000416.SZ,20200321,20200321,31013175.32,48812322.43,17799147.11,6915252.35
38,000417.SZ,20200328,20200328,247123003.33,396650690.17,149527686.84,10908554054.14
39,000419.SZ,20200418,20200418,200021318.96,257369329.5,57348010.54,3455659921.69
40,000420.SZ,20200410,20200410,99948276.07,94506461.76,-5441814.31,2690565539.92
41,000421.SZ,20200417,20200417,182401334.6,239405986.78,57004652.18,3593702456.91
42,000423.SZ,20200327,20200327,-445384518.84,-505208682.87,-59824164.03,2958622339.62
