,ts_code,ann_date,end_date,name,title,reward,hold_vol
0,000063.SZ,20200203,20200204,徐子阳,董事；总裁,,42000
1,000063.SZ,20200203,20200204,夏小悦,监事,,50927
2,000063.SZ,20200203,20200204,谢大雄,监事会主席,,495803
3,000063.SZ,20200203,20200204,王喜瑜,执行副总裁,,41500
4,000063.SZ,20200203,20200204,李莹,执行副总裁；财务总监,,27800
5,000157.SZ,20200331,20191231,王永祥,助理总裁,1200000,1050000
6,000502.SZ,20200330,20191231,窦洪滨,董事,,0
7,000488.SZ,20200328,20191231,胡长青,副董事长,3039000,42857
8,000151.SZ,20200325,20191231,林滟,原副总经理,513700,0
9,000060.SZ,20200310,20191231,彭玲,原党委委员；原副总裁,1776600,0
10,000416.SZ,20200321,20191231,王成福,监事,345600,0
11,000409.SZ,20200328,20191231,张宪依,原董事；原总经理,618200,0
12,000416.SZ,20200321,20191231,陈良栋,董事；财务总监,766000,0
13,000420.SZ,20200410,20191231,宋德武,董事长,,48000
14,000420.SZ,20200410,20191231,丁晋奇,独立董事,40000,0
15,000062.SZ,20200326,20191231,李曙成,董事,0,0
16,000301.SZ,20200409,20191231,冯琴,监事,0,0
17,000488.SZ,20200328,20191231,张晓峰,原监事,11200,0
18,000338.SZ,20200327,20191231,马常海,监事,1256700,0
19,000488.SZ,20200328,20191231,李杏贵,职工监事,244000,0
20,000400.SZ,20200410,20191231,王叙果,独立董事,80000,0
21,000063.SZ,20200328,20191231,张素芳,监事,,0
22,000063.SZ,20200328,20191231,蔡曼莉,独立非执行董事,250000,0
23,000063.SZ,20200328,20191231,吴君栋,独立非执行董事,250000,0
24,000063.SZ,20200328,20191231,曹巍,原董事会秘书,772000,0
25,000063.SZ,20200328,20191231,尚晓峰,监事,,0
26,000014.SZ,20200327,20191231,赵忠,副总经理,670000,0
27,000151.SZ,20200325,20191231,顾海涛,董事,0,0
28,000151.SZ,20200325,20191231,刘艳,董事长,0,0
29,000151.SZ,20200325,20191231,王毅,职工董事,498700,0
30,000404.SZ,20200411,20191231,张蕊,独立董事,126500,0
31,000151.SZ,20200325,20191231,张朋,董事；副总经理；财务总监；董事会秘书,816800,0
32,000421.SZ,20200417,20191231,周伟,董事；总经理,414000,0
33,000099.SZ,20200324,20191231,郭海兰,独立董事,80000,0
34,000099.SZ,20200324,20191231,李宗前,董事,,0
35,000099.SZ,20200324,20191231,许卫杰,副总经理,1698300,700
36,000099.SZ,20200324,20191231,张长江,独立董事,80000,0
37,000096.SZ,20200331,20191231,嵇元弘,副总经理；董事会秘书,839800,0
38,000423.SZ,20200327,20191231,高登锋,副总裁,1267000,0
39,000166.SZ,20200328,20191231,冯戎,原执行董事；原副董事长,1772900,0
40,000166.SZ,20200328,20191231,任晓涛,非执行董事,0,0
41,000166.SZ,20200328,20191231,屈艳萍,原非执行董事,0,0
42,000166.SZ,20200328,20191231,葛蓉蓉,非执行董事,0,0
43,000166.SZ,20200328,20191231,黄琦,职工监事,2001500,0
44,000062.SZ,20200326,20191231,阎志亮,职工监事,880000,0
45,000166.SZ,20200328,20191231,安歌军,职工监事,1247800,0
46,000049.SZ,20200417,20191231,谭跃,原独立董事,80000,0
47,000062.SZ,20200326,20191231,石世辉,监事,0,0
48,000049.SZ,20200417,20191231,白小平,董事,,0
49,000049.SZ,20200417,20191231,陈莉,财务总监,2617900,40000
50,000025.SZ,20200403,20191231,胡玉明,独立董事,80000,0
51,000400.SZ,20200410,20191231,万桂龙,董事会秘书,415900,0
52,000400.SZ,20200410,20191231,张爱玲,副总经理,589200,0
53,000338.SZ,20200327,20191231,任冰冰,副总裁,1472500,600000
54,000063.SZ,20200328,20191231,李自学,董事长；原代董事会秘书,5813000,0
55,000099.SZ,20200324,20191231,叶忠为,独立董事,80000,0
56,000400.SZ,20200410,20191231,赵建宾,监事,,0
57,000400.SZ,20200410,20191231,檀国彪,董事,,48326
58,000401.SZ,20200319,20191231,孔庆辉,党委书记；董事长；原总经理,1665200,0
59,000151.SZ,20200325,20191231,韩宏,董事,0,0
60,000029.SZ,20200314,20191231,陈茂政,总经理；董事,1342800,0
61,000039.SZ,20200327,20191231,何家乐,独立非执行董事,140000,0
62,000060.SZ,20200310,20191231,丘旭明,原监事,0,0
63,000409.SZ,20200328,20191231,李培进,原董事,0,0
64,000063.SZ,20200328,20191231,丁建中,董事会秘书,1735000,0
65,000050.SZ,20200318,20191231,刘伟,职工代表监事,407800,4800
66,000014.SZ,20200327,20191231,刘标,董事,100000,0
67,000338.SZ,20200327,20191231,佟德辉,副总裁,1686100,8210596
68,000407.SZ,20200328,20191231,王坚,副董事长,70000,0
69,000409.SZ,20200328,20191231,薛希凤,原财务总监,520700,0
70,000407.SZ,20200328,20191231,李守清,董事；总会计师,576600,0
71,000502.SZ,20200330,20191231,余斌,原董事,,0
72,000050.SZ,20200318,20191231,王磊,副总经理,2341500,7800
73,000420.SZ,20200410,20191231,年志远,独立董事,40000,0
74,000151.SZ,20200325,20191231,刘德勇,总工程师,1277000,0
75,000063.SZ,20200328,20191231,王俊峰,原监事,,0
76,000416.SZ,20200321,20191231,李慧中,原独立董事,96000,0
77,000034.SZ,20200331,20191231,韩玉华,原运营总监,0,1391354
78,000031.SZ,20200331,20191231,朱海彬,原副总经理,1061400,0
79,000157.SZ,20200331,20191231,王明华,监事会主席,0,0
80,000089.SZ,20200328,20191231,沈维涛,独立董事,100000,0
81,000420.SZ,20200410,20191231,丁晋奇,独立董事,40000,0
82,000420.SZ,20200410,20191231,徐建国,总经理助理；董事会秘书,110000,20300
83,000420.SZ,20200410,20191231,魏全东,副经理,115000,30000
84,000089.SZ,20200328,20191231,李健,副总经理,727100,0
85,000420.SZ,20200410,20191231,李金泉,独立董事,40000,0
86,000421.SZ,20200417,20191231,赵筛网,监事,0,0
87,000428.SZ,20200330,20191231,郭敏,原监事会主席,0,9200
88,000428.SZ,20200330,20191231,邓永平,副总经理,541800,0
89,000026.SZ,20200320,20191231,黄勇峰,董事长,1979200,180000
90,000026.SZ,20200320,20191231,陈卓,总会计师,1644400,131000
91,000096.SZ,20200331,20191231,李世标,董事,17900,0
92,000428.SZ,20200330,20191231,葛晓炳,监事,164000,0
93,000429.SZ,20200407,20191231,张华,独立董事,63000,0
94,000429.SZ,20200407,20191231,刘中华,独立董事,63000,0
95,000429.SZ,20200407,20191231,鲍方舟,独立董事,63000,0
96,000429.SZ,20200407,20191231,黄海,董事,63000,0
97,000099.SZ,20200324,20191231,王玉梅,独立董事,80000,0
98,000099.SZ,20200324,20191231,王鹏,副董事长；总经理,2253800,0
99,000157.SZ,20200331,20191231,田兵,助理总裁,1200000,1470000
100,000301.SZ,20200409,20191231,缪汉根,董事长；总经理,1772900,0
101,000060.SZ,20200310,20191231,戚思胤,董事,0,0
102,000157.SZ,20200331,20191231,杨昌伯,独立董事,150000,0
103,000166.SZ,20200328,20191231,龚波,监事,0,0
104,000037.SZ,20200320,20191231,黄庆,董事,0,0
105,000049.SZ,20200417,20191231,文建辉,职工监事,3956600,0
106,000037.SZ,20200320,20191231,林青,原副总经理,609600,0
107,000488.SZ,20200328,20191231,孙迎花,原职工监事,134000,73800
108,000037.SZ,20200320,20191231,陈玉辉,董事；总经理,715000,0
109,000301.SZ,20200409,20191231,王俊,副总经理；董事会秘书,273400,0
110,000157.SZ,20200331,20191231,赵令欢,董事,0,0
111,000166.SZ,20200328,20191231,王洪刚,非执行董事,0,0
112,000166.SZ,20200328,20191231,卫勇,监事,0,0
