,date,behavior,code,price,num,cash,close,profit,profit_new
0,20200203,buy,600568.SH,1.4,7100.0,11704.0,1.64,1704.0,3688.3578
1,20200204,--,600568.SH,1.65,7100.0,11917.0,1.67,1917.0,3755.481878212577
2,20200205,--,600568.SH,1.72,7100.0,12627.0,1.77,2627.0,3979.2288055878334
3,20200206,--,600568.SH,1.79,7100.0,13905.0,1.95,3905.0,4381.973274863294
4,20200207,--,600568.SH,2.15,7100.0,15112.0,2.12,5112.0,4762.34305140123
5,20200210,--,600568.SH,2.0,7100.0,13621.0,1.91,3621.0,4292.474503913191
6,20200211,--,600568.SH,1.79,7100.0,12982.0,1.82,2982.0,4091.102269275461
7,20200212,sell,600568.SH,1.76,0.0,12556.0,--,2556.0,3956.854112850307
8,20200213,buy,600491.SH,7.28,1700.0,12760.0,7.4,2760.0,4021.1419624060145
9,20200214,--,600491.SH,7.38,1700.0,13321.0,7.73,3321.0,4197.93354868421
10,20200217,--,600491.SH,7.73,1700.0,13559.0,7.87,3559.0,4272.936039832535
11,20200218,--,600491.SH,7.86,1700.0,13525.0,7.85,3525.0,4262.221398239917
12,20200219,--,600491.SH,7.9,1700.0,13423.0,7.79,3423.0,4230.077473462064
13,20200220,--,600491.SH,7.8,1700.0,13355.0,7.75,3355.0,4208.648190276827
14,20200221,--,600491.SH,7.7,1700.0,13389.0,7.77,3389.0,4219.362831869445
15,20200224,sell,600491.SH,7.74,0.0,13338.0,--,3338.0,4203.290869480518
16,20200225,buy,600568.SH,1.7,7800.0,14118.0,1.8,4118.0,4449.09735307587
17,20200226,--,600568.SH,1.78,7800.0,14040.0,1.79,4040.0,4424.516704716335
18,20200227,--,600568.SH,1.77,7800.0,14196.0,1.81,4196.0,4473.678001435405
19,20200228,--,600568.SH,1.78,7800.0,14352.0,1.83,4352.0,4522.839298154476
